record_id,first_name,last_name,scopus,orcid,internal_accounting_complete
196,Xiaoyue,Liu,60053402100,,2
197,Zaheeb,tariq,,0009-0000-9938-3571,2
198,Wilson,Tang,,0009-0007-7122-4481,2
200,Oliver,Epstein,,0009-0001-7523-6793,2
201,Alice,Song,,0009-0005-5199-8047,2
202,Sophie,Lin,,0009-0005-3728-3096,2
203,Laura,Street,,0009-0000-9551-1716,2
205,Gillian,Nishi,,0009-0002-3673-7592,2
206,Alexander,Robertson,,0009-0006-6323-0155,2
207,Joseph,Guidubaldi,58022763600,,2
208,Justin,Huang,,0009-0003-5401-087X,2
209,Seth,Kadar,,0009-0001-8541-9892,2
210,Yanbin,Niu,58993797800,,2
211,Yimeng,Dou,57222656741,,2
212,Addison,Cavender,,0009-0007-0153-8979,2
213,Saurab,Gyawali,,0009-0008-1880-8768,2
214,Aria,Sikal,,0009-0006-1176-3005,2
215,Aidan ,J Martin,,0009-0006-9436-3540,2
216,Armaan,Parikh,,0009-0000-4463-7212,2
217,Mollie,Hobensack,57208080605,,2
218,Stirling,Argabright,,0000-0002-6489-6024,2
219,Ming,Yang,59395740000,,2
